Month,City,Merchant,Total_Sales,No_of_sales
Jul 2017,26,Jeanie Theden inc,"145,922",6
Jul 2017,26,Ivan Spruill inc,"102,792",5
Jul 2017,28,Charles Simonson inc,"461,201",25
Jul 2017,28,Lee Hodgkiss inc,"396,692",22
Jul 2017,28,Elliott Haines inc,"388,125",17
Jul 2017,28,Lauren Ansel inc,"380,176",18
Jul 2017,28,Jennifer Chadwell inc,"376,229",17
Jul 2017,29,Kirsten Huse inc,"1,199,634",56
Jul 2017,29,Tarsha Chance inc,"644,981",32
Jul 2017,29,Eric Nettles inc,"355,920",16
Jul 2017,29,Paul Gaska inc,"339,502",15
Jul 2017,29,Lillian Thompson 2 inc,"327,235",16
Jul 2017,30,Doris King 3 inc,"1,311,044",64
Jul 2017,30,Donald Ireland inc,"1,299,194",67
Jul 2017,30,Clarence Streater inc,"1,196,380",56
Jul 2017,30,Dennis Johnson 6 inc,"1,106,144",61
Jul 2017,30,Mary Lancaster 3 inc,"808,866",41
Jul 2017,32,Thomas Stone 2 inc,"200,762",10
Jul 2017,32,Shanna Rice inc,"184,581",9
Jul 2017,32,Gilbert Leland inc,"158,595",7
Jul 2017,32,Michael Harrison inc,"155,028",6
Jul 2017,32,Adrian Rollin inc,"137,044",6
Jul 2017,33,Danny Thompson inc,"688,688",33
Jul 2017,33,Ronald Johnson 17 inc,"557,366",29
Jul 2017,33,Pearl Newport inc,"499,698",25
Jul 2017,33,Christina Stanton inc,"482,502",21
Jul 2017,33,Albert Hatton inc,"465,091",22
Jul 2017,34,Alysia Ceovantes inc,"993,364",45
Jul 2017,34,Nina Conn inc,"757,027",36
Jul 2017,34,Mitchell Kalhorn inc,"714,664",36
Jul 2017,34,Kris Endicott inc,"603,870",30
Jul 2017,34,Danny Martinez inc,"548,871",28
Jul 2017,35,Bobby Ames inc,"337,494",15
Jul 2017,35,Pamela Spiro inc,"215,226",10
Jul 2017,35,Mary Cottingham inc,"197,701",10
Jul 2017,35,Thomas Costello 2 inc,"181,816",8
Jul 2017,35,Catherine Perez 2 inc,"108,450",6
Jul 2017,36,Henrietta Cook inc,"896,569",47
Jul 2017,36,Ronald Jones 10 inc,"764,324",34
Jul 2017,36,Esther Diaz inc,"697,500",35
Jul 2017,36,Arleen Otero inc,"443,105",21
Jul 2017,36,Jennifer Thornbury 2 inc,"397,526",18
Jul 2017,38,Patricia Odonnell inc,"327,431",19
Jul 2017,38,Miranda Tiller inc,"327,299",17
Jul 2017,38,Kris Phelps inc,"306,386",15
Jul 2017,38,Douglas Mccullen inc,"303,833",16
Jul 2017,38,Alison Lewis 2 inc,"248,039",11
Jul 2017,39,Patricia Marble inc,"484,563",24
Jul 2017,39,James Angles inc,"264,198",14
Jul 2017,39,John Wolfram inc,"262,695",16
Jul 2017,39,Judie Robinson inc,"182,236",11
Jul 2017,39,Jonathan Dalley inc,"176,444",9
Jul 2017,40,Karla Fernandez inc,"345,631",18
Jul 2017,40,Kay Tito inc,"255,346",13
Jul 2017,40,Michael Rivas inc,"188,476",9
Jul 2017,40,Brooke Alsdon inc,"119,374",5
Jul 2017,40,Kathryn Schumpert inc,"92,949",3
Jul 2017,41,Joyce Mendez inc,"817,011",40
Jul 2017,41,Richard Bower inc,"656,239",34
Jul 2017,41,Annie Brownell inc,"457,115",25
Jul 2017,41,Angela Peterson 3 inc,"378,542",21
Jul 2017,41,Tricia Peabody inc,"356,316",18
Jul 2017,42,Carlene Phelps inc,"949,847",44
Jul 2017,42,Louis Kahn inc,"689,890",37
Jul 2017,42,Glenn Richmond inc,"680,114",32
Jul 2017,42,Cynthia Northover inc,"583,714",30
Jul 2017,42,Melvin Rowland inc,"505,901",24
Jul 2017,44,Bart Carney inc,"322,889",16
Jul 2017,44,Kathleen Parris inc,"186,894",11
Jul 2017,44,Spencer Greenstreet inc,"173,253",7
Jul 2017,44,Jon Moore inc,"164,565",8
Jul 2017,44,Sylvia Gonzalez 2 inc,"153,306",7
Jul 2017,46,Asuncion Sandmeier inc,"648,721",38
Jul 2017,46,Mariano Krenz inc,"308,855",15
Jul 2017,46,Paul Ross 3 inc,"257,644",12
Jul 2017,46,Kristina Burkett 2 inc,"235,215",11
Jul 2017,46,Becky Negbenebor inc,"224,914",8
Jul 2017,47,Kevin Taylor 5 inc,"254,214",10
Jul 2017,47,Nicole Chamberlain inc,"224,584",10
Jul 2017,47,Walter Jorgensen inc,"197,858",12
Jul 2017,47,Jessica Munoz 2 inc,"160,167",6
Jul 2017,47,Christina Marshall 2 inc,"158,692",6
Jul 2017,48,Stanley Cuevas inc,"683,446",33
Jul 2017,48,Bryan Vasquez inc,"658,166",27
Jul 2017,48,George Brown 11 inc,"590,687",31
Jul 2017,48,Zelda Bozell inc,"572,580",27
Jul 2017,48,Maria Bugg inc,"551,053",29
Jul 2017,49,Bernice Battles inc,"786,232",39
Jul 2017,49,Carole Lotton inc,"268,252",15
Jul 2017,49,April Johnson 3 inc,"267,073",14
Jul 2017,49,Kimberly Singleton inc,"243,123",11
Jul 2017,49,Emily Coppola inc,"209,097",7
Jul 2017,51,Mary Mraz inc,"1,857,560",90
Jul 2017,51,Joshua Kuehnert inc,"1,550,588",78
Jul 2017,51,Micheal Styles inc,"1,416,244",69
Jul 2017,51,Irene Deschamps inc,"1,174,206",58
Jul 2017,51,Joanne Yannone inc,"1,115,106",55
Jul 2017,52,Arthur Noel inc,"747,839",32
Jul 2017,52,Ann Walser inc,"496,517",23
Jul 2017,52,Kurt Sapp inc,"393,362",23
Jul 2017,52,Richard Bell 6 inc,"380,786",21
Jul 2017,52,Leo Turpin inc,"356,546",18
Jul 2017,53,Cornelius Mattson inc,"4,208,758",210
Jul 2017,53,Keith Conley 3 inc,"3,420,020",167
Jul 2017,53,Cynthia Phelps inc,"2,683,478",123
Jul 2017,53,Robert Murdock inc,"1,850,359",100
Jul 2017,53,Debra Wilczynski inc,"1,757,354",91
Jul 2017,54,Eloise Sorbo inc,"242,430",14
Jul 2017,54,Donald Hart inc,"189,161",8
Jul 2017,54,Jessica Wilson inc,"159,269",8
Jul 2017,54,Jennifer Harris 4 inc,"104,885",4
Jul 2017,54,Barbara Brantly inc,"101,170",5
Jul 2017,56,Courtney Mansfield inc,"824,312",42
Jul 2017,56,Gerald Miller 3 inc,"773,775",41
Jul 2017,56,Mary Varos inc,"598,947",28
Jul 2017,56,Christopher Jackson 5 inc,"439,535",22
Jul 2017,56,Scott Cornelius inc,"433,476",20
Jul 2017,57,Eddie Plunkett inc,"5,333,448",266
Jul 2017,57,Jennifer Furr inc,"5,265,931",254
Jul 2017,57,Kenneth Huson inc,"3,723,053",176
Jul 2017,57,Rhonda Wheeler inc,"2,464,026",133
Jul 2017,57,John Sumstad inc,"2,106,975",103
Jul 2017,58,Trevor Najera inc,"508,207",25
Jul 2017,58,Karen Brendal inc,"445,915",22
Jul 2017,58,Warren Peters 2 inc,"183,319",7
Jul 2017,58,Jeannette Russell inc,"174,736",8
Jul 2017,58,Danelle Eichberger inc,"159,570",8
Jul 2017,60,Lucas Ohara inc,"2,977,969",158
Jul 2017,60,Diane Perez 2 inc,"1,132,728",56
Jul 2017,60,Catherine Hurley inc,"828,612",41
Jul 2017,60,Virginia Correy inc,"752,880",36
Jul 2017,60,Rafael Goss inc,"750,146",40
Jul 2017,61,Benjamin Elliott 3 inc,"447,958",24
Jul 2017,61,Audrey Thrash inc,"184,055",9
Jul 2017,61,Carol Ritter 2 inc,"175,644",7
Jul 2017,61,Susan Wood 2 inc,"144,915",7
Jul 2017,61,Ashley Hertenstein inc,"124,913",6
Jul 2017,62,Rosemary Silva inc,"524,259",24
Jul 2017,62,Richard Jones 18 inc,"464,120",24
Jul 2017,62,Rita Mcreynolds inc,"410,105",20
Jul 2017,62,Amy Locke inc,"279,994",12
Jul 2017,62,Juan Brashear inc,"220,085",13
Jul 2017,63,Nestor Wright inc,"765,586",38
Jul 2017,63,Gladys Gibbons inc,"557,759",30
Jul 2017,63,Johnathan Oldham inc,"477,366",24
Jul 2017,63,Jon Creasey inc,"360,307",19
Jul 2017,63,Robert Boyette inc,"308,868",16
Jul 2017,64,Matthew Cassem inc,"597,247",31
Jul 2017,64,Edgar Johnson 3 inc,"532,535",27
Jul 2017,64,Essie Chapman inc,"530,857",27
Jul 2017,64,Sandra Swonger inc,"518,327",23
Jul 2017,64,Terri Gamez inc,"401,585",25
Jul 2017,65,Emma Aikens inc,"312,390",15
Jul 2017,65,Richard Boehm inc,"267,679",13
Jul 2017,65,Jennifer Boyes inc,"252,526",13
Jul 2017,65,Elton Lemons inc,"162,783",8
Jul 2017,65,Mable Noble inc,"136,851",6
Jul 2017,66,Manuel Furlong inc,"948,085",44
Jul 2017,66,Derrick Phillips 2 inc,"528,900",28
Jul 2017,66,Marie Serbus inc,"471,265",20
Jul 2017,66,Louis Kahn inc,"414,333",19
Jul 2017,66,Alfred Taylor inc,"400,417",16
Jul 2017,68,Nola Bulow inc,"750,180",40
Jul 2017,68,Jarvis Carrington inc,"423,318",23
Jul 2017,68,Rufus Bowman inc,"321,607",16
Jul 2017,68,Clair Ziech inc,"221,249",9
Jul 2017,68,Michael Bracamonte inc,"215,232",8
Jul 2017,69,John Miller 7 inc,"329,220,612","16,391"
Jul 2017,69,Henry Barnhill inc,"57,491,870","2,865"
Jul 2017,69,June Gray inc,"37,791,364","1,893"
Jul 2017,69,Weston Hendon inc,"35,722,037","1,793"
Jul 2017,69,Pamela Glass 2 inc,"23,542,874","1,180"
Jul 2017,70,Ileen Niss inc,"661,795",34
Jul 2017,70,Margie Dillard inc,"338,484",15
Jul 2017,70,Damien Hawkins inc,"253,498",11
Jul 2017,70,Stephen Wilburn inc,"240,451",11
Jul 2017,70,Gay Park inc,"201,190",8
Jul 2017,71,Isabel Harrison inc,"197,504",8
Jul 2017,71,Anna Blumberg inc,"194,239",9
Jul 2017,71,Alan Peckenpaugh inc,"137,581",7
Jul 2017,71,Lorene Johnston inc,"78,686",4
Jul 2017,71,Harold Buster inc,"75,546",5
Jul 2017,73,Kathleen Lavole inc,"808,316",43
Jul 2017,73,Cynthia Burks inc,"365,324",16
Jul 2017,73,Marilyn Conatser inc,"247,745",12
Jul 2017,73,Tracey Herz inc,"200,897",11
Jul 2017,73,Raul Rogriguez inc,"173,978",9
Jul 2017,74,Barbara Forney inc,"371,223",19
Jul 2017,74,Scott Blevins inc,"214,336",10
Jul 2017,74,Alan Prechtl inc,"200,241",10
Jul 2017,74,Donald Perry 4 inc,"180,846",8
Jul 2017,74,Jeanette Mcmilliam inc,"171,297",10
Jul 2017,75,William Gomez 5 inc,"688,808",32
Jul 2017,75,Everett Hertzler inc,"490,936",25
Jul 2017,75,Louise Lambert inc,"295,332",13
Jul 2017,75,Robert Flannigan 2 inc,"229,804",12
Jul 2017,75,Angel Raper inc,"220,891",9
Jul 2017,76,Bridget Kisner inc,"8,268,815",407
Jul 2017,76,Karen Ohare inc,"2,858,100",150
Jul 2017,76,Valerie Fitch inc,"2,240,304",113
Jul 2017,76,Carolyn Reeves 2 inc,"2,045,316",101
Jul 2017,76,Brandon Lodi inc,"1,753,297",88
Jul 2017,77,William Schwerdtfeger inc,"423,285",19
Jul 2017,77,David Alto inc,"401,167",19
Jul 2017,77,Janay Mcintire inc,"194,725",8
Jul 2017,77,Jorge Taber inc,"169,636",8
Jul 2017,77,Luis Rembert inc,"165,111",12
Jul 2017,78,Kenneth Mullen inc,"879,854",43
Jul 2017,78,Humberto Ruiz inc,"530,434",25
Jul 2017,78,Richard Hunsaker inc,"507,621",24
Jul 2017,78,John Offerdahl inc,"465,569",22
Jul 2017,78,James Nesbit 2 inc,"462,520",25
Jul 2017,79,Ronald Miller 5 inc,"843,838",43
Jul 2017,79,Sabrina Arnold 2 inc,"616,161",32
Jul 2017,79,Stephen Krummel inc,"544,227",24
Jul 2017,79,Mary Weymouth inc,"494,838",21
Jul 2017,79,Martin Adkins inc,"463,439",22
Jul 2017,80,Eugene Pell inc,"338,760",18
Jul 2017,80,Clara Leung 2 inc,"214,964",10
Jul 2017,80,Bettye Olsen inc,"194,121",9
Jul 2017,80,Grace Bond inc,"144,221",6
Jul 2017,80,Theodore Martine inc,"143,593",7
Jul 2017,81,Maria Heller inc,"360,154",19
Jul 2017,81,Marcy Gahagan inc,"200,266",9
Jul 2017,81,Debbie Wilkerson inc,"130,307",8
Jul 2017,81,William Silsby inc,"119,249",8
Jul 2017,81,Anna Perez 2 inc,"88,680",4
Jul 2017,82,Marie Husband inc,"615,164",29
Jul 2017,82,Robert Broyles 2 inc,"315,516",15
Jul 2017,82,Thomas Regan inc,"267,514",12
Jul 2017,82,Allen Emmons inc,"221,091",9
Jul 2017,82,Joyce Wilson 5 inc,"210,713",10
Jul 2017,83,Barry Schuh inc,"299,899",13
Jul 2017,83,Chad Robinson 4 inc,"297,918",15
Jul 2017,83,Joyce Whitehead inc,"254,102",12
Jul 2017,83,John Mendoza 5 inc,"242,205",12
Jul 2017,83,Antonio Burdett inc,"227,529",11
Jul 2017,84,Margaret Matheny inc,"231,628",10
Jul 2017,84,Daniel Helmick inc,"158,053",9
Jul 2017,84,Michael Wingham inc,"142,385",6
Jul 2017,84,Nichole Wilson inc,"134,880",7
Jul 2017,84,Jeff Wyman inc,"105,688",7
Jul 2017,85,Bernard Nisbett inc,"321,844",18
Jul 2017,85,Kathleen Hodgson inc,"236,402",10
Jul 2017,85,Bobby Mills inc,"191,350",8
Jul 2017,85,Antonio Mcneill inc,"158,832",9
Jul 2017,85,Joseph Allen 5 inc,"123,034",5
Jul 2017,86,Jared Kirk inc,"316,825",16
Jul 2017,86,Charles Reiley inc,"161,364",10
Jul 2017,86,Diana Seide inc,"141,980",6
Jul 2017,86,David Butler 4 inc,"109,955",6
Jul 2017,86,Christine Blackwell inc,"109,223",6
Jul 2017,87,Joe Montgomery inc,"6,194,577",303
Jul 2017,87,Frank Garcia 2 inc,"5,976,571",292
Jul 2017,87,Tessie Jaramillo inc,"5,266,731",256
Jul 2017,87,Doug Moran inc,"5,004,142",259
Jul 2017,87,Betty Hunter 2 inc,"4,332,700",213
Jul 2017,88,Heather Ramberg inc,"10,471,271",512
Jul 2017,88,Deidre Bright inc,"8,572,747",416
Jul 2017,88,Ronald Hussein inc,"7,649,587",383
Jul 2017,88,Samantha Jackson inc,"7,176,435",359
Jul 2017,88,Kristen Hurtado inc,"6,856,794",333
Jul 2017,89,Carl Fonseca inc,"357,117",16
Jul 2017,89,George Hicks 2 inc,"260,835",13
Jul 2017,89,Sheila Clayton inc,"179,701",8
Jul 2017,89,James Roderick inc,"170,339",9
Jul 2017,89,Tony Sandoval inc,"170,232",9
Jul 2017,90,Kevin Watkins 2 inc,"702,283",33
Jul 2017,90,Brian Moffatt inc,"669,474",32
Jul 2017,90,Brett Dejohn inc,"584,702",31
Jul 2017,90,Anthony Stgeorge inc,"528,167",26
Jul 2017,90,Robin Schwarz inc,"526,446",21
Jul 2017,91,Robert Rainville inc,"588,969",30
Jul 2017,91,Christine Devine inc,"281,894",15
Jul 2017,91,Juana Bouchard inc,"205,983",11
Jul 2017,91,Minnie Johnson inc,"195,967",10
Jul 2017,91,Ramon Bezanson inc,"187,989",8
Jul 2017,92,Charles Berg inc,"55,523",2
Jul 2017,92,Christy Kehoe inc,"47,439",2
Jul 2017,92,Gail Smith 3 inc,"45,766",2
Jul 2017,92,Jennifer Pancoast inc,"43,532",2
Jul 2017,92,Odell Pearson inc,"30,753",1
Jul 2017,94,Dora Dermody inc,"744,222",35
Jul 2017,94,Zachary Solis inc,"403,958",21
Jul 2017,94,Brian Jones 8 inc,"286,820",12
Jul 2017,94,Aida Oliver inc,"232,621",11
Jul 2017,94,John Holt 5 inc,"219,571",9
Jul 2017,96,Wendy Meyer inc,"1,123,545",53
Jul 2017,96,Karen Holsten inc,"957,558",49
Jul 2017,96,Lane Cross inc,"818,501",42
Jul 2017,96,Terisa Smith inc,"745,027",37
Jul 2017,96,Quinton Nelson inc,"586,229",27
Jul 2017,97,Richard Caskey inc,"1,369,634",64
Jul 2017,97,Beverly Lee inc,"1,088,820",52
Jul 2017,97,David Lightfoot 2 inc,"487,155",23
Jul 2017,97,Joseph Burns 3 inc,"384,183",21
Jul 2017,97,Edward Goodridge inc,"320,503",16
Jul 2017,98,Dwight Alexander inc,"731,621",37
Jul 2017,98,Marc Standard inc,"541,101",23
Jul 2017,98,Tara Miller inc,"442,844",23
Jul 2017,98,Grover Youngblood inc,"366,922",17
Jul 2017,98,Eugene Sapp inc,"362,490",19
Jul 2017,100,Candace Morton inc,"572,904",29
Jul 2017,100,Steven Epps inc,"375,523",19
Jul 2017,100,Martin Sharum inc,"370,827",20
Jul 2017,100,Shelly Pitts inc,"248,608",17
Jul 2017,100,Heather Travis inc,"234,474",12
Jul 2017,101,Carol Tate inc,"609,711",30
Jul 2017,101,Derek Davis 2 inc,"469,123",21
Jul 2017,101,Daniel Robinson 5 inc,"373,874",16
Jul 2017,101,Scott Delarosa inc,"314,879",17
Jul 2017,101,David Diga inc,"261,628",13
Jul 2017,102,Barry Hart inc,"939,800",53
Jul 2017,102,Cleta Ro inc,"600,376",31
Jul 2017,102,Mary Derby inc,"484,499",25
Jul 2017,102,Troy Centeno inc,"447,994",21
Jul 2017,102,Dianne Alliston inc,"409,286",19
Jul 2017,103,Austin Talty inc,"409,972",22
Jul 2017,103,William Murray 5 inc,"180,455",9
Jul 2017,103,Roberta Blanchard inc,"165,202",7
Jul 2017,103,Johnnie Carpentier inc,"164,499",7
Jul 2017,103,Jason Pescatore inc,"141,395",6
Jul 2017,104,Lillian Riffel inc,"378,921",19
Jul 2017,104,James Thomas 20 inc,"366,314",16
Jul 2017,104,Laura Johnson 8 inc,"357,767",17
Jul 2017,104,Joseph Jacobs inc,"214,621",12
Jul 2017,104,Ed Hill inc,"158,348",7
Jul 2017,105,Eusebio Steese inc,"596,088",30
Jul 2017,105,Steve Haward inc,"376,461",17
Jul 2017,105,Shawna Ward inc,"331,802",15
Jul 2017,105,Corinne Labeau inc,"231,037",11
Jul 2017,105,Sylvester Williams inc,"209,021",10
Jul 2017,106,Antonia Greenberg inc,"407,820",19
Jul 2017,106,Debbie Mitchell inc,"351,589",17
Jul 2017,106,Tamara Vasquez inc,"320,674",15
Jul 2017,106,Bryan Porterfield inc,"310,602",16
Jul 2017,106,Ann Chirino inc,"282,579",14
Jul 2017,107,Julius Kutz inc,"4,020,067",200
Jul 2017,107,Tim Crosby inc,"3,341,743",159
Jul 2017,107,Michael Truelove inc,"2,232,482",113
Jul 2017,107,Mary Duke 3 inc,"1,412,803",71
Jul 2017,107,Kimberly Subido inc,"1,096,860",57
Jul 2017,108,Daniel Jackson 9 inc,"230,171",10
Jul 2017,108,Suzanne Hammond inc,"188,564",10
Jul 2017,108,Virginia Weymouth inc,"165,292",9
Jul 2017,108,Opal Love inc,"142,277",6
Jul 2017,108,Eva Santana inc,"129,352",8
Jul 2017,109,Lucille Knights inc,"854,770",41
Jul 2017,109,Jose Ortega inc,"726,073",37
Jul 2017,109,Maria Jobson inc,"441,565",20
Jul 2017,109,Rosemary Lee 4 inc,"366,945",18
Jul 2017,109,Betty Bale inc,"328,631",15
Jul 2017,110,Donna Gonzalez 4 inc,"3,538,156",169
Jul 2017,110,Connie Thompson 2 inc,"1,415,903",66
Jul 2017,110,Mae Brown inc,"1,362,702",70
Jul 2017,110,Marvin Miller 2 inc,"1,007,379",53
Jul 2017,110,Alvin Lucero inc,"782,071",39
Jul 2017,111,John Poremski inc,"686,226",29
Jul 2017,111,David Kilpatrick inc,"448,870",20
Jul 2017,111,Robert Baker 9 inc,"281,258",17
Jul 2017,111,Patricia Dover inc,"264,194",13
Jul 2017,111,Bertha Walton inc,"243,661",12
Jul 2017,112,Linda Black inc,"274,513",12
Jul 2017,112,Tracy Mathews inc,"175,232",10
Jul 2017,112,Deloris Shetler inc,"154,493",7
Jul 2017,112,Douglas Richner inc,"150,681",7
Jul 2017,112,Randy Coffland inc,"139,469",8
Jul 2017,113,Ellen Foersterling inc,"264,239",11
Jul 2017,113,Arlene Lehmberg inc,"142,651",6
Jul 2017,113,Mary Montgomery 4 inc,"133,240",7
Jul 2017,113,Edward Howell inc,"104,657",5
Jul 2017,113,Roger Jones 5 inc,"99,364",6
Jul 2017,114,Kellie Aguilar inc,"535,462",24
Jul 2017,114,Joann Vidinha inc,"287,964",13
Jul 2017,114,Leonard Crawford inc,"261,166",13
Jul 2017,114,Derrick Salmon inc,"208,488",11
Jul 2017,114,Mildred Davidson inc,"175,052",9
Jul 2017,115,John Campbell 11 inc,"411,161",17
Jul 2017,115,Lamar Kyle inc,"267,134",14
Jul 2017,115,Gus Augustine inc,"242,500",12
Jul 2017,115,Sarah Bruce inc,"224,982",11
Jul 2017,115,William Perea inc,"219,659",8
Jul 2017,116,Matthew Barnett 3 inc,"1,260,052",58
Jul 2017,116,Shannon Puckett inc,"1,171,756",62
Jul 2017,116,Mildred Leitheiser inc,"1,069,996",57
Jul 2017,116,Novella Yates inc,"1,006,004",47
Jul 2017,116,Anthony Wangler inc,"927,845",50
Jul 2017,117,Michael Farruggio inc,"2,803,121",141
Jul 2017,117,Dion Cantu inc,"2,622,481",127
Jul 2017,117,Theresa Martin 3 inc,"2,383,990",115
Jul 2017,117,Catherine Tanner inc,"2,318,461",109
Jul 2017,117,Katrina Norvell inc,"1,323,747",64
Jul 2017,118,Werner Shepherd inc,"189,281",9
Jul 2017,118,Pamela Lamb inc,"176,491",9
Jul 2017,118,Cristy Key inc,"140,471",6
Jul 2017,118,Isabella Roscoe inc,"137,843",5
Jul 2017,118,Charles Mercer inc,"105,813",6
Jul 2017,119,Betty Sanford inc,"656,317",35
Jul 2017,119,Ken Swanson inc,"608,640",30
Jul 2017,119,Michael Shade 2 inc,"472,598",23
Jul 2017,119,James David 2 inc,"448,189",20
Jul 2017,119,Jason Pappas inc,"312,293",18
Jul 2017,120,Sandra Summers inc,"596,195",30
Jul 2017,120,Patricia Nebergall inc,"341,346",15
Jul 2017,120,Timothy Blackman inc,"289,697",18
Jul 2017,120,Denise Fowler 2 inc,"242,663",11
Jul 2017,120,Kenneth Lewis 3 inc,"233,150",11
Jul 2017,122,Roberta Malcolm inc,"212,787",11
Jul 2017,122,Derek Zimmerman inc,"120,178",6
Jul 2017,122,Karen Holsten inc,"111,830",7
Jul 2017,122,Charles Rataj inc,"106,138",5
Jul 2017,122,Erma Vaden inc,"89,258",4
Jul 2017,123,Alan Shannon inc,"543,920",27
Jul 2017,123,Rita Barber inc,"376,347",22
Jul 2017,123,Cecila Ragusa inc,"294,285",13
Jul 2017,123,Kurt Garcia inc,"216,973",9
Jul 2017,123,Angela Johnson 5 inc,"206,566",12
Jul 2017,124,Weston Cyree inc,"499,642",23
Jul 2017,124,Betty Mcdonald 2 inc,"372,689",19
Jul 2017,124,Javier Smith 2 inc,"369,191",17
Jul 2017,124,Micheal Thompson inc,"350,876",19
Jul 2017,124,Jodie Otero inc,"258,361",12
Jul 2017,125,Alex Purtell inc,"615,137",33
Jul 2017,125,Martin Porter inc,"577,033",30
Jul 2017,125,Brent Higgins inc,"490,466",27
Jul 2017,125,Virginia Maisey inc,"383,014",18
Jul 2017,125,Caroline Mccann inc,"349,556",16
Jul 2017,126,Kristi Radford inc,"677,171",33
Jul 2017,126,Basil Cain inc,"460,879",24
Jul 2017,126,Ellen Battle inc,"429,409",21
Jul 2017,126,Dennis Alderman inc,"418,601",21
Jul 2017,126,Julius Kutz inc,"389,609",18
Jul 2017,128,William Benningfield inc,"744,061",33
Jul 2017,128,Eva Moffat inc,"415,285",22
Jul 2017,128,Lisa Macki inc,"298,820",15
Jul 2017,128,Pamela Pickett inc,"286,220",15
Jul 2017,128,Robert Yodis inc,"253,292",10
Jul 2017,129,Sabrina Holley inc,"555,892",27
Jul 2017,129,Jackson Tweedy inc,"547,653",25
Jul 2017,129,Barbara Sasaki inc,"487,245",24
Jul 2017,129,Beverly Johnson 3 inc,"401,882",22
Jul 2017,129,Donald Scuderi inc,"389,753",16
Jul 2017,130,Virginia Mustafa inc,"196,579",9
Jul 2017,130,Mary Clasen inc,"147,249",6
Jul 2017,130,Nancy Wallace 2 inc,"76,152",3
Jul 2017,130,Elizabeth Nelson 5 inc,"69,121",3
Jul 2017,130,Stephen Blanchard 2 inc,"63,952",3
Jul 2017,131,Christian Penn inc,"1,133,124",57
Jul 2017,131,Christen Harlow inc,"885,240",46
Jul 2017,131,Wendy Gadbaw inc,"878,101",39
Jul 2017,131,Bill Brainard inc,"824,159",34
Jul 2017,131,James Orrick inc,"662,632",30
Jul 2017,133,Stephanie Obrien inc,"272,004",10
Jul 2017,133,Tyler Sharpe inc,"221,533",12
Jul 2017,133,Dean Noggle inc,"201,868",10
Jul 2017,133,George Cecchini inc,"187,257",12
Jul 2017,133,Jason Ortega 3 inc,"169,481",8
Jul 2017,135,Michael King 9 inc,"703,027",34
Jul 2017,135,Phillip Carlson inc,"666,897",29
Jul 2017,135,Robbie Allard inc,"450,202",21
Jul 2017,135,Tracey Mcbride inc,"406,868",21
Jul 2017,135,Erik Tovar inc,"372,042",17
Jul 2017,136,Boyd Delosh inc,"767,675",37
Jul 2017,136,Justin Pellicone inc,"582,298",27
Jul 2017,136,Michelle Delrio inc,"523,074",25
Jul 2017,136,Wanda Labrie inc,"428,814",23
Jul 2017,136,Reid Johnson inc,"411,895",21
Jul 2017,137,Charles Cota inc,"8,388,708",412
Jul 2017,137,Liana Ramos inc,"8,046,371",398
Jul 2017,137,George Caporiccio inc,"7,871,521",382
Jul 2017,137,Rebecca Ross inc,"4,650,432",227
Jul 2017,137,Charlie Harwood inc,"3,405,224",164
Jul 2017,138,Barbara Brantly inc,"2,537,241",129
Jul 2017,138,Jessica Wilson inc,"1,944,620",96
Jul 2017,138,Ricardo Simpson inc,"1,401,132",71
Jul 2017,138,Carol Martin 4 inc,"999,130",47
Jul 2017,138,Elizabeth Pennington inc,"816,644",41
Jul 2017,139,Irene Rutledge inc,"675,205",34
Jul 2017,139,Jean Rogers 2 inc,"417,117",20
Jul 2017,139,Amy Yates inc,"368,125",17
Jul 2017,139,Elaine Chapman inc,"315,313",14
Jul 2017,139,Margie Alford inc,"240,716",11
Jul 2017,140,Janet Mendiola inc,"3,669,241",182
Jul 2017,140,Eugene Lovelace inc,"1,766,215",85
Jul 2017,140,Robert Molina 2 inc,"1,751,507",90
Jul 2017,140,Chad Tobar inc,"1,319,965",66
Jul 2017,140,Joseph Horton 2 inc,"1,079,618",50
Jul 2017,142,Manuel Lanehart inc,"560,913",32
Jul 2017,142,Annette Abston inc,"192,769",8
Jul 2017,142,Steve Swartz inc,"183,633",8
Jul 2017,142,Adrian Farley inc,"145,873",9
Jul 2017,142,James Beers inc,"115,262",5
Jul 2017,143,Helen Kern inc,"16,292,246",815
Jul 2017,143,Scott Hepburn inc,"10,948,075",536
Jul 2017,143,Alan Eisenhower inc,"8,243,682",408
Jul 2017,143,Rose Garner inc,"7,077,386",350
Jul 2017,143,Rashida Hernandez inc,"5,011,562",263
Jul 2017,144,Kristofer Oquinn inc,"476,684",25
Jul 2017,144,Andres Knight inc,"467,038",24
Jul 2017,144,Patricia Saucedo inc,"343,995",18
Jul 2017,144,Robert Mccain inc,"327,593",14
Jul 2017,144,Melvin Haro inc,"187,709",10
Jul 2017,145,Helen Brown 6 inc,"581,657",30
Jul 2017,145,Martin Long inc,"491,107",23
Jul 2017,145,Courtney Eckert inc,"230,013",11
Jul 2017,145,Emmett Christian inc,"217,485",12
Jul 2017,145,Andrew Powers 3 inc,"198,258",10
Jul 2017,146,Mary Kirby 2 inc,"354,689",16
Jul 2017,146,John Powell 7 inc,"314,778",17
Jul 2017,146,Benjamin Parsley inc,"264,767",13
